Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	194
Date	2004JUL12
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	15.49992	[UTC]
Stop_time	15.78270	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.50724	[p_s^-1]
ForeOptic_temperature	39.15	[ns]
Front_temperature	39.15	[ns]
Back_temperature	23.06	[ns]
Inside_temperature	22.63	[ns]
Shelter_temperature	17.43	[ns]
PSUnit_temperature	21.51	[ns]
AirCond_temperature	26.79	[ns]
Outside_temperature	24.57	[ns]
Comments	none
Formatted_file	2004194f08.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
353.110	501.53091	0.0002	0.0000
353.210	372.81808	0.0002	0.0000
353.310	357.58411	0.0002	0.0000
353.410	541.39502	0.0002	0.0000
353.510	485.90735	0.0002	0.0000
353.610	464.45139	0.0002	0.0000
353.710	451.21320	0.0002	0.0000
353.810	420.20068	0.0002	0.0000
353.910	582.05890	0.0002	0.0000
354.010	527.89209	0.0002	0.0000
354.110	405.46417	0.0002	0.0000
354.210	407.96893	0.0002	0.0000
354.310	502.97940	0.0002	0.0000
354.409	531.18121	0.0002	0.0000
354.509	487.49979	0.0002	0.0000
354.609	503.98489	0.0002	0.0000
354.709	522.10742	0.0002	0.0000
354.809	395.51654	0.0002	0.0000
354.909	540.81763	0.0002	0.0000
355.009	526.49744	0.0002	0.0000
355.109	498.11066	0.0002	0.0000
355.209	484.59631	0.0002	0.0000
355.309	436.14142	0.0002	0.0000
355.409	383.09348	0.0002	0.0000
355.509	370.28156	0.0002	0.0000
355.609	541.32996	0.0002	0.0000
355.709	448.58121	0.0002	0.0000
355.809	428.99216	0.0002	0.0000
355.909	400.40994	0.0002	0.0000
356.009	468.41278	0.0002	0.0000
356.109	453.28531	0.0002	0.0000
356.209	486.77615	0.0002	0.0000
356.309	586.78986	0.0002	0.0000
356.409	487.66794	0.0002	0.0000
356.509	246.71909	0.0003	0.0000
356.609	229.10004	0.0003	0.0000
356.709	397.37933	0.0002	0.0000
356.809	457.27325	0.0002	0.0000
356.909	312.05664	0.0002	0.0000
357.008	162.70238	0.0003	0.0000
357.108	367.59042	0.0002	0.0000
357.208	324.03046	0.0002	0.0000
357.308	455.88495	0.0002	0.0000
357.408	382.48242	0.0002	0.0000
357.508	384.66656	0.0002	0.0000
357.608	445.26639	0.0002	0.0000
357.708	484.21561	0.0002	0.0000
357.808	363.82675	0.0002	0.0000
357.908	347.95850	0.0002	0.0000
358.008	336.96088	0.0002	0.0000
358.108	139.54559	0.0003	0.0000
358.208	223.16971	0.0003	0.0000
358.308	351.85229	0.0002	0.0000
358.408	360.00296	0.0002	0.0000
358.508	187.11235	0.0003	0.0000
358.608	249.86047	0.0003	0.0000
358.708	226.44283	0.0003	0.0000
358.808	347.83038	0.0002	0.0000
358.908	326.71194	0.0002	0.0000
359.008	353.41895	0.0002	0.0000
359.108	522.63806	0.0002	0.0000
359.208	526.43787	0.0002	0.0000
359.308	387.55396	0.0002	0.0000
359.408	449.17059	0.0002	0.0000
359.508	475.19244	0.0002	0.0000
359.607	529.14716	0.0002	0.0000
359.707	554.21045	0.0002	0.0000
359.807	508.47672	0.0002	0.0000
359.907	485.87302	0.0002	0.0000
360.007	574.21869	0.0002	0.0000
