Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	194
Date	2004JUL12
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	15.49992	[UTC]
Stop_time	15.78270	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.50724	[p_s^-1]
ForeOptic_temperature	39.15	[ns]
Front_temperature	39.15	[ns]
Back_temperature	23.06	[ns]
Inside_temperature	22.63	[ns]
Shelter_temperature	17.43	[ns]
PSUnit_temperature	21.51	[ns]
AirCond_temperature	26.79	[ns]
Outside_temperature	24.57	[ns]
Comments	none
Formatted_file	2004194f08.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
303.920	17.58469	0.0009	0.0000
304.020	15.49022	0.0010	0.0000
304.120	13.65630	0.0010	0.0000
304.220	12.30766	0.0011	0.0000
304.320	20.36177	0.0008	0.0000
304.420	21.67816	0.0008	0.0000
304.520	23.42342	0.0008	0.0000
304.620	25.45938	0.0008	0.0000
304.720	12.42515	0.0011	0.0000
304.820	16.38002	0.0009	0.0000
304.920	28.65215	0.0007	0.0000
305.020	26.08622	0.0008	0.0000
305.120	29.89150	0.0007	0.0000
305.220	42.31539	0.0006	0.0000
305.320	32.70078	0.0007	0.0000
305.420	24.21781	0.0008	0.0000
305.520	29.89350	0.0007	0.0000
305.620	32.74384	0.0007	0.0000
305.720	16.51121	0.0009	0.0000
305.820	16.52391	0.0009	0.0000
305.920	15.69099	0.0010	0.0000
306.020	28.77014	0.0007	0.0000
306.120	37.69110	0.0006	0.0000
306.220	36.42048	0.0006	0.0000
306.320	32.80115	0.0007	0.0000
306.420	25.00990	0.0008	0.0000
306.520	35.82440	0.0006	0.0000
306.620	28.26687	0.0007	0.0000
306.720	22.22449	0.0008	0.0000
306.820	33.21368	0.0007	0.0000
306.920	45.95420	0.0006	0.0000
307.020	47.88172	0.0006	0.0000
307.120	50.01049	0.0005	0.0000
307.220	40.52905	0.0006	0.0000
307.320	52.28814	0.0005	0.0000
307.420	54.16046	0.0005	0.0000
307.520	37.49305	0.0006	0.0000
307.620	52.64556	0.0005	0.0000
307.720	59.71539	0.0005	0.0000
307.820	43.85063	0.0006	0.0000
307.920	60.88079	0.0005	0.0000
308.020	57.93567	0.0005	0.0000
308.120	48.62132	0.0005	0.0000
308.220	39.72354	0.0006	0.0000
308.320	45.39842	0.0006	0.0000
308.419	68.31546	0.0005	0.0000
308.520	73.06393	0.0004	0.0000
308.620	65.85795	0.0005	0.0000
308.719	51.49091	0.0005	0.0000
308.819	48.75857	0.0005	0.0000
308.919	61.90982	0.0005	0.0000
309.019	53.07970	0.0005	0.0000
309.119	40.40936	0.0006	0.0000
309.219	44.81223	0.0006	0.0000
309.319	29.99711	0.0007	0.0000
309.419	59.26817	0.0005	0.0000
309.519	79.71165	0.0004	0.0000
309.619	55.14656	0.0005	0.0000
309.719	45.71401	0.0006	0.0000
309.819	74.11318	0.0004	0.0000
309.919	60.95422	0.0005	0.0000
310.019	30.91819	0.0007	0.0000
310.119	38.81116	0.0006	0.0000
310.219	51.77614	0.0005	0.0000
310.319	89.48909	0.0004	0.0000
310.419	94.99368	0.0004	0.0000
310.519	89.51440	0.0004	0.0000
310.619	94.51001	0.0004	0.0000
310.719	104.28086	0.0004	0.0000
310.819	120.81776	0.0003	0.0000
310.919	113.95426	0.0004	0.0000
311.019	93.87078	0.0004	0.0000
311.119	108.92014	0.0004	0.0000
311.219	109.38148	0.0004	0.0000
311.319	117.88728	0.0004	0.0000
311.419	90.11768	0.0004	0.0000
311.519	118.97475	0.0004	0.0000
311.619	102.51955	0.0004	0.0000
311.719	90.19678	0.0004	0.0000
311.819	93.20249	0.0004	0.0000
311.919	92.81895	0.0004	0.0000
312.019	90.45251	0.0004	0.0000
312.119	94.01912	0.0004	0.0000
312.219	91.55838	0.0004	0.0000
312.319	120.87496	0.0003	0.0000
312.419	139.13315	0.0003	0.0000
312.519	94.10004	0.0004	0.0000
312.619	105.53769	0.0004	0.0000
312.719	125.90916	0.0003	0.0000
312.819	122.30357	0.0003	0.0000
312.919	124.61248	0.0003	0.0000
313.019	119.99670	0.0004	0.0000
313.119	124.02787	0.0003	0.0000
313.219	114.41975	0.0004	0.0000
313.319	118.81573	0.0004	0.0000
313.419	94.68515	0.0004	0.0000
313.519	126.71789	0.0003	0.0000
313.619	115.83753	0.0004	0.0000
313.719	131.84865	0.0003	0.0000
313.819	157.10690	0.0003	0.0000
313.919	155.47672	0.0003	0.0000
314.019	141.32060	0.0003	0.0000
314.119	163.83093	0.0003	0.0000
314.219	158.77115	0.0003	0.0000
314.319	102.98156	0.0004	0.0000
314.419	48.88787	0.0005	0.0000
314.519	94.64191	0.0004	0.0000
314.619	134.87204	0.0003	0.0000
314.719	118.18941	0.0004	0.0000
314.819	141.05080	0.0003	0.0000
314.919	176.10748	0.0003	0.0000
315.019	141.74393	0.0003	0.0000
315.119	158.13242	0.0003	0.0000
315.219	151.29716	0.0003	0.0000
315.319	159.50328	0.0003	0.0000
315.419	136.76932	0.0003	0.0000
315.519	140.32938	0.0003	0.0000
315.619	136.98021	0.0003	0.0000
315.719	87.72254	0.0004	0.0000
315.819	90.77990	0.0004	0.0000
315.919	87.53722	0.0004	0.0000
316.019	111.13169	0.0004	0.0000
316.119	100.81115	0.0004	0.0000
316.219	133.10942	0.0003	0.0000
316.319	169.03151	0.0003	0.0000
316.419	149.89630	0.0003	0.0000
316.519	157.30984	0.0003	0.0000
316.619	147.64696	0.0003	0.0000
316.719	202.51250	0.0003	0.0000
316.819	155.21376	0.0003	0.0000
316.919	161.05969	0.0003	0.0000
317.019	200.22641	0.0003	0.0000
317.119	225.70876	0.0003	0.0000
317.219	220.12282	0.0003	0.0000
317.319	214.64935	0.0003	0.0000
317.419	205.75456	0.0003	0.0000
317.519	179.07901	0.0003	0.0000
317.619	220.45059	0.0003	0.0000
317.719	214.20233	0.0003	0.0000
317.819	161.93878	0.0003	0.0000
317.919	119.89638	0.0004	0.0000
318.019	130.03827	0.0003	0.0000
318.119	129.53333	0.0003	0.0000
318.219	140.78041	0.0003	0.0000
318.319	150.39127	0.0003	0.0000
318.418	170.75610	0.0003	0.0000
318.518	182.84567	0.0003	0.0000
318.618	196.66623	0.0003	0.0000
318.718	194.98750	0.0003	0.0000
318.818	200.48209	0.0003	0.0000
318.918	279.89496	0.0002	0.0000
319.018	234.28152	0.0003	0.0000
319.118	181.41470	0.0003	0.0000
319.218	130.46704	0.0003	0.0000
319.318	134.07639	0.0003	0.0000
319.418	178.44969	0.0003	0.0000
319.518	185.27556	0.0003	0.0000
319.618	178.60431	0.0003	0.0000
319.718	175.54985	0.0003	0.0000
319.818	253.93108	0.0002	0.0000
319.918	238.52313	0.0002	0.0000
320.018	166.45015	0.0003	0.0000
320.118	229.98930	0.0003	0.0000
320.218	218.70827	0.0003	0.0000
320.318	234.06454	0.0003	0.0000
320.418	282.72540	0.0002	0.0000
320.518	239.39471	0.0002	0.0000
320.618	273.07922	0.0002	0.0000
320.718	270.05197	0.0002	0.0000
320.818	245.23738	0.0002	0.0000
320.918	210.52988	0.0003	0.0000
321.018	191.97807	0.0003	0.0000
321.118	184.58008	0.0003	0.0000
321.218	174.47214	0.0003	0.0000
321.318	179.64819	0.0003	0.0000
321.418	154.05669	0.0003	0.0000
321.518	217.46510	0.0003	0.0000
321.618	230.40060	0.0003	0.0000
321.718	189.19563	0.0003	0.0000
321.818	270.42960	0.0002	0.0000
321.918	246.74989	0.0002	0.0000
322.018	242.77519	0.0002	0.0000
322.118	245.44698	0.0002	0.0000
322.218	168.39864	0.0003	0.0000
322.318	200.67871	0.0003	0.0000
322.418	262.51645	0.0002	0.0000
322.518	187.75606	0.0003	0.0000
322.618	167.01917	0.0003	0.0000
322.718	184.91809	0.0003	0.0000
322.818	154.86531	0.0003	0.0000
322.918	151.20071	0.0003	0.0000
323.018	176.82820	0.0003	0.0000
323.118	222.59659	0.0003	0.0000
323.218	255.82697	0.0002	0.0000
323.318	222.78923	0.0003	0.0000
323.418	175.00241	0.0003	0.0000
323.518	229.78563	0.0003	0.0000
323.618	189.71483	0.0003	0.0000
323.718	229.50040	0.0003	0.0000
323.818	281.31601	0.0002	0.0000
323.918	186.36513	0.0003	0.0000
324.018	292.97177	0.0002	0.0000
324.118	286.01010	0.0002	0.0000
324.218	250.10458	0.0002	0.0000
324.318	260.10156	0.0002	0.0000
324.418	244.76694	0.0002	0.0000
324.518	288.92010	0.0002	0.0000
324.618	312.45920	0.0002	0.0000
324.717	219.36310	0.0003	0.0000
324.818	207.32463	0.0003	0.0000
324.917	226.07094	0.0003	0.0000
325.017	239.36821	0.0003	0.0000
325.117	234.37973	0.0003	0.0000
325.217	267.02173	0.0002	0.0000
325.317	274.82700	0.0002	0.0000
325.417	228.72760	0.0003	0.0000
325.517	355.20688	0.0002	0.0000
325.617	333.21167	0.0002	0.0000
325.717	310.33438	0.0002	0.0000
325.817	336.71198	0.0002	0.0000
325.917	380.17334	0.0002	0.0000
326.017	354.38309	0.0002	0.0000
326.117	345.22253	0.0002	0.0000
326.217	352.30475	0.0002	0.0000
326.317	359.32855	0.0002	0.0000
326.417	302.65164	0.0002	0.0000
326.517	282.10916	0.0002	0.0000
326.617	380.33240	0.0002	0.0000
326.717	373.32153	0.0002	0.0000
326.817	375.88623	0.0002	0.0000
326.917	357.53851	0.0002	0.0000
327.017	350.69437	0.0002	0.0000
327.117	280.81631	0.0002	0.0000
327.217	310.28610	0.0002	0.0000
327.317	373.17007	0.0002	0.0000
327.417	316.50156	0.0002	0.0000
327.517	388.21216	0.0002	0.0000
327.617	317.87216	0.0002	0.0000
327.717	302.57172	0.0002	0.0000
327.817	332.55365	0.0002	0.0000
327.917	280.48273	0.0002	0.0000
